Domanda,Tempo,Tempo_1,Tempo_2
Il localizzazionismo struttura/funzione: dalle aree ai singoli neuroni.,,1.5248081684112549,0.0358562469482421
Concetto e definizione di campo recettivo in relazione ai diversi sistemi sensoriali.,,1.1137521266937256,0.0764837265014648
Pattern motori pre- e neonatali nell'uomo.,,0.3754229545593261,0.0339720249176025
Evoluzione filogenetica delle strutture oculari.,,0.1867251396179199,0.0777060985565185
"Densità d'innervazione e somatotopie: definizioni, caratteristiche generali e adattamenti specie-specifici.",,0.159959077835083,0.2745299339294433
Perché le sinapsi chimiche rivestono un'importanza maggiore rispetto a quelle elettriche nei vertebrati?,,0.1726861000061035,0.0778131484985351
Meccanismi per la localizzazione dei suoni sul piano orizzontale.,,0.1300890445709228,0.0759418010711669
"Percezione, cognizione e azione: prospettiva classica e moderna.",,0.1522822380065918,0.0303437709808349
Relazioni tra peculiarità etologiche di una specie e morfologia dell'occhio.,,0.1537270545959472,0.0318372249603271
I generatori centrali di pattern.,,0.1689279079437255,0.0769281387329101
L'approccio classico e l'approccio neuroetologico all'elaborazione neurale dei suoni.,,0.1460659503936767,0.0765731334686279
Ontogenesi del sistema motorio: dal controllo automatico a quello volontario.,,0.1548900604248047,0.0775578022003173
Struttura e funzioni del nucleo HVC negli uccelli canori.,,0.1444759368896484,0.0115687847137451
"Percezione delle facce in prospettiva comparata: omologie, analogie e relazioni con le peculiarità etologiche delle diverse specie.",,0.1464691162109375,0.0308461189270019
Specializzazioni adattative centrali e periferiche nel sistema somatosensoriale della talpa dal muso a stella.,,0.4927961826324463,0.0445709228515625
Trasduzione del suono in prospettiva comparata.,,0.0772647857666015,0.0793840885162353
"Sistemi dopaminergici tronco encefalici: gratificazione, rinforzo e apprendimento.",,0.0772910118103027,0.0288000106811523
Meccanismi per la localizzazione dei suoni sul piano verticale.,,0.0773227214813232,0.0313467979431152
I neuroni specchio nella scimmia: proprietà funzionali.,,0.0766336917877197,0.0307757854461669
Organizzazione gerarchica del sistema motorio.,,0.077115774154663,0.075707197189331
Origine ontogenetica dei generatori centrali di pattern.,,0.0335762500762939,0.0773487091064453
Codifica invariante di azioni osservate nella scimmia e nell'uomo.,,0.0282680988311767,0.0343432426452636
Recettori della sensibilità tattile: aspetti specie-specifici e caratteristiche generali.,,0.0333001613616943,0.0785999298095703
Neuroni specchio e sistemi specchio in prospettiva comparata.,,0.0358400344848632,0.6465940475463867
Il campo recettivo tattile: definizione e caratteristiche comparative nei mammiferi.,,0.0326559543609619,0.0307700634002685
Mappe tonotopiche dalla coclea alla corteccia uditiva primaria.,,0.0331611633300781,0.0345621109008789
Principi generali di organizzazione dei sistemi motori.,,0.0302257537841796,0.1305482387542724
Filogenesi ed ontogenesi della capacità di identificare e riconoscere i movimenti biologici.,,0.027897834777832,0.0769159793853759
Catene di riflessi vs generatori centrali di pattern in prospettiva comparata.,,0.0293390750885009,0.0302808284759521
Meccanismi neurali per l'identificazione e riconoscimento dei suoni.,,0.0289587974548339,0.4460937976837158
I concetti di «campo recettivo» e «mappa» neurale nelle diverse modalità sensoriali.,,0.032057762145996,0.0320289134979248
Omologie profonde nella struttura delle membrane ed eccitabilità elettrica delle cellule.,,0.0323398113250732,0.0329940319061279
Analogie e differenze tra i neuroni specchio degli uccelli e dei primati.,,0.0327327251434326,0.0772249698638916
Specializzazioni evolutive per la visione diurna.,,0.0312991142272949,0.0351719856262207
Specializzazioni specie-specifiche nell'elaborazione dell'informazione acustica.,,0.0313122272491455,0.0769610404968261
Specializzazioni evolutive per la visione notturna.,,0.0319879055023193,0.0305061340332031
"Peculiarità funzionali, vantaggi e svantaggi della trasmissione sinaptica elettrica e chimica.",,0.0313658714294433,0.07609677314758301
Fenomeni di convergenza e integrazione nei sistemi sensoriali.,,0.0326840877532959,0.0302691459655761
La percezione di illusioni ottiche nel mondo animale: omologie e analogie in prospettiva filogenetica.,,0.0315480232238769,0.0770862102508544
Neuroni mirror audio-motori negli uccelli.,,0.0312809944152832,0.0343580245971679
Plasticità del sistema somatosensoriale in relazione a danno ed esperienza negli animali e nell'uomo.,,0.031235933303833,0.0341408252716064
Reclutamento/attivazione bottom-up e top-down nei sistemi sensoriali.,,0.0315828323364257,0.452571153640747
"Elaborazione gerarchica, in serie e in parallelo dell'informazione sensoriale.",,0.0317776203155517,0.0771729946136474
Tatto passivo e tatto attivo nell'esplorazione degli oggetti: interazioni sensorimotorie ed effetti di lesioni corticali.,,0.0316920280456543,0.075495958328247
Differenze anatomo-funzionali tra sistemi visivi di animali diurni e notturni.,,0.0307750701904296,0.0293030738830566
Funzioni adattative del sistema uditivo.,,0.0310432910919189,0.0352430343627929
Studi sul movimento fetale.,,0.0280730724334716,0.0348849296569824
Proprietà e ruoli funzionali.,,0.0316338539123535,0.0342848300933837
Relazioni fra centri spinali e sopraspinali nel controllo motorio in ottica filogenetica.,,0.0318109989166259,0.0303349494934082
